Kode Artikel,Nama Artikel,Tier,QTY WHS DDD,QTY WHS LJBB,QTY WHS MBB,TOTAL WHS,RO BOX DDD,RO BOX LJBB,RO BOX MBB,TOTAL RO,READY STOCK
M1CA01,"MEN CLASSIC 1, JET BLACK",1,0,0,0,0,0,0,,0,0
M1ON01,"MEN ONYX 1, BLACK BLACK",2,0,0,0,0,0,0,,0,0
M1ON04,"MEN ONYX 4, BLACK GREY",1,0,0,0,0,0,0,,0,0
M1SP01,"MEN STRIPE 1, BLACK BLUE RED",1,0,0,0,0,0,0,,0,0
M1SP07,"MEN STRIPE 7, BLACK TAN WHITE",1,0,0,0,0,0,0,,0,0
L1EA11,"LADIES ELSA 11, GINGERSNAP",1,0,0,0,0,0,0,,0,0
L1EA06,"LADIES ELSA 6, JET BLACK",1,0,0,0,0,0,0,,0,0
M1CA23,"MEN CLASSIC 23, NAVY BLACK",1,0,0,0,0,0,0,,0,0
M1CA27,"MEN CLASSIC 27, GREY GREY",2,0,0,0,0,0,0,,0,0
L1CA01,"LADIES CLASSIC 1, JET BLACK",1,0,0,0,0,0,0,,0,0
L1CM01,"LADIES CLASSIC METALIC 1, BLACK0GOLD",2,0,0,0,0,0,0,,0,0
L1CA22,"LADIES CLASSIC 22, NAVY NAVY",1,0,0,0,0,0,0,,0,0
L1CM02,"LADIES CLASSIC METALIC 2, BLEACH SAND",1,0,0,0,0,0,0,,0,0
M1BL03,"MEN BLACK SERIES 3, COSMIC GREY",1,0,0,0,0,0,0,,0,0
L1EA10,"LADIES ELSA 10, SILVER NAVY",1,0,0,0,0,0,0,,0,0
L1FL01,"LADIES FLO 1, BLACK",1,0,0,0,0,0,0,,0,0
L1FL03,"LADIES FLO 3, LIGHT BROWN",1,0,0,0,0,0,0,,0,0
M1DL01,MEN DALLAS 1 JET BLACK,1,0,0,0,0,0,0,,0,0
L1CA23,LADIES CLASSIC 23 NAVY GREY,2,0,0,0,0,0,0,,0,0
L1CM04,LADIES CLASSIC METALIC 4 GINGER SNAP,1,0,0,0,0,0,0,,0,0
M1CA31,"MEN CLASSIC 31, BLACK TURQUOISE",1,0,0,0,0,0,0,,0,0
M1SL11,"MEN SLIDE BASIC 11, BLACK",1,0,0,0,0,0,0,,0,0
M1CA24,"MEN CLASSIC 24, NAVY GREY",2,0,0,0,0,0,0,,0,0
M1ON05,"MEN ONYX 5, TURQUOISE BLACK",1,0,0,0,0,0,0,,0,0
L1FL05,"LADIES FLO 5, WHITE",4,0,0,0,0,0,0,,0,0
L1FL06,"LADIES FLO 6, ROSE",4,0,0,0,0,0,0,,0,0
L1CA25,LADIES CLASSIC 25 DRAK GREY,2,0,0,0,0,0,0,,0,0
L1CP01,LADIES CLASSIC PASTEL 1 HAZELNUT,4,0,0,0,0,0,0,,0,0
Z1MF01,BABY GIRLS COLLAB 1 DISNEY MICKEY & FRIENDS PINK,2,0,0,0,0,0,0,,0,0
M1SP08,"MEN STRIPE 8, TWILIGHT RED WHITE",1,0,0,0,0,0,0,,0,0
M1SP11,"MEN STRIPE 11, GRAY LIME",1,0,0,0,0,0,0,,0,0
M1SP10,"MEN STRIPE 10, ALMOND BLACK",1,0,0,0,0,0,0,,0,0
L1CA29,LADIES CLASSIC 29 NAVY HOTPINK,1,0,0,0,0,0,0,,0,0
M1ON02,"MEN ONYX 2, NAVY BLACK",1,0,0,0,0,0,0,,0,0
M1ON03,"MEN ONYX 3, NAVY NAVY",1,0,0,0,0,0,0,,0,0
L1EA07,"LADIES ELSA 7, BLACK GOLD",2,0,0,0,0,0,0,,0,0
L1EA08,"LADIES ELSA 8, SILVER BLACK",4,0,0,0,0,0,0,,0,0
M1BL07,MEN BLACK SERIES 7 TURQUOISE,4,0,0,0,0,0,0,,0,0
L1CM03,"LADIES CLASSIC METALIC 3,BALLET ROSE",2,0,0,0,0,0,0,,0,0
M1CA30,"MEN CLASSIC 30, BROWN BLACK",2,0,0,0,0,0,0,,0,0
M1SL13,"MEN SLIDE 13, BLACK",4,0,0,0,0,0,0,,0,0
L1KM02,"LADIES KIM 2, JET BLACK",4,0,0,0,0,0,0,,0,0
L1KM03,"LADIES KIM 3, GINGERSNAP",4,0,0,0,0,0,0,,0,0
L1KM05,"LADIES KIM 5, MUSTARD",4,0,0,0,0,0,0,,0,0
M1BL04,"MEN BLACK SERIES 4, LIGHT OLIVE",4,0,0,0,0,0,0,,0,0
M1BL05,"MEN BLACK SERIES 5, PEANUT",1,0,0,0,0,0,0,,0,0
M1DL03,"MEN DALLAS 3, GRAY",2,0,0,0,0,0,0,,0,0
M1DL04,"MEN DALLAS 4, BROWN",4,0,0,0,0,0,0,,0,0
M1BL06,MEN BLACK SERIES 6 STONE BLUE,1,1,0,0,1,0,0,,0,1
L1CA26,LADIES CLASSIC 26 LIGHT GREY,2,0,0,0,0,0,0,,0,0
L1WG02,LADIES WEDGES 2 JET BLACK,3,0,0,0,0,0,0,,0,0
L1WG03,LADIES WEDGES 3 NAVY,2,0,0,0,0,0,0,,0,0
L1WG04,LADIES WEDGES 4 GINGER SNAP,2,0,0,0,0,0,0,,0,0
Z2CL01,BABY BOYS COLLAB 1 DISNEY MICKEY BLACK,1,6,0,0,6,0,0,,0,6
M1BL01,MEN BLACK SERIES 1 MAROON,4,0,0,0,0,0,0,,0,0
L1CP02,LADIES CLASSIC PASTEL 2 LILAC,4,0,0,0,0,0,0,,0,0
L1CP04,LADIES CLASSIC PASTEL 4 STEEL BLUE,4,0,0,0,0,0,0,,0,0
Z1MF02,BABY BOYS COLLAB 2 DISNEY MICKEY & FRIENDS BLUE,1,0,0,0,0,0,0,,0,0
Z1MF03,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,1,0,0,0,0,0,0,,0,0
Z2GC01,BABY GIRLS COLLAB 1 PINK,2,48,0,0,48,0,0,,0,48
L1CA32,"LADIES CLASSIC 32,BLACK STONE",2,0,0,0,0,0,0,,0,0
Z2CA01,"BABY BOYS CLASSIC 1,STEEL BLUE",4,0,0,0,0,0,0,,0,0
Z2CA02,"BABY BOYS CLASSIC 2,HAZELNUT",3,0,0,0,0,0,0,,0,0
Z2CA03,"BABY BOYS CLASSIC 3,CANDY PINK",2,0,0,0,0,0,0,,0,0
M1CA32,"MEN CLASSIC 32,BLACK STONE",2,0,0,0,0,0,0,,0,0
B1ON01,"BOYS ONYX 1, BLACK BLACK",4,0,0,0,0,0,0,,0,0
B1ON02,"BOYS ONYX 2, ARMY BLACK",4,0,0,0,0,0,0,,0,0
B1ON03,"BOYS ONYX 3, NAVY GREY",4,0,0,0,0,0,0,,0,0
B1SP01,BOYS STRIPE 1 BLACK TURQUOISE,4,0,0,0,0,0,0,,0,0
B2CL09,BOYS COLLAB 9 DISNEY MICKEY BLACK,4,0,0,0,0,0,0,,0,0
G2CL05,GIRLS COLLAB 5 DISNEY MINNIE CANDY PINK,4,0,0,0,0,0,0,,0,0
B1SP02,BOYS STRIPE 2 NAVY RED,4,0,0,0,0,0,0,,0,0
L1CM05,"LADIES CLASSIC METALIC 5,TEAL GREEN",1,0,0,0,0,0,0,,0,0
M1SP02,"MEN STRIPE 2, TWILIGHT ORANGE0GREEN",1,0,0,0,0,0,0,,0,0
G2CL07,"GIRLS COLLAB 7,GOLD CREAM",4,0,0,0,0,0,0,,0,0
L1SG02,"LADIES SURFER GILR 2,NAVY",4,0,0,0,0,0,0,,0,0
L1SG03,"LADIES SURFER GIRL 3,ROSE",4,0,0,0,0,0,0,,0,0
L1SG01,"LADIES SURFER GIRL 1,GREY",4,0,0,0,0,0,0,,0,0
L1WG01,LADIES WEDGES 1 BLACK GOLD,3,0,0,0,0,0,0,,0,0
M1CA28,"MEN CLASSIC 28, PLUM BLACK",4,0,0,0,0,0,0,,0,0
L1KM06,"LADIES KIM 6, NAVY NAVY",4,0,0,0,0,0,0,,0,0
L1EA12,"LADIES ELSA 12, BROWNIE GOLD",3,0,0,0,0,0,0,,0,0
M1DL02,"MEN DALLAS 2, NAVY",4,0,0,0,0,0,0,,0,0
L1WG07,LADIES WEDGES 7 SILVER,4,0,0,0,0,0,0,,0,0
Z2WB02,BABY UNI COLLAB WBB 2 GREY NAVY,4,0,0,0,0,0,0,,0,0
L1CP03,LADIES CLASSIC PASTEL 3 CANDY PINK,4,0,0,0,0,0,0,,0,0
Z2WB01,BABY UNI COLLAB WBB 1 BLUE NAVY,4,0,0,0,0,0,0,,0,0
G1SP01,"GIRLS STRIPE 1, BLACK PINK",4,0,0,0,0,0,0,,0,0
B2CL10,BOYS COLLAB 10 DISNEY MICKEY LAVA,4,0,0,0,0,0,0,,0,0
B2CL11,BOYS COLLAB 11 DISNEY MICKEY DOVE,4,0,0,0,0,0,0,,0,0
G2CL06,GIRLS COLLAB 6 DISNEY MINNIE BEEN,4,0,0,0,0,0,0,,0,0
G1SP02,GIRLS STRIPE 2 NAVY PINK,4,0,0,0,0,0,0,,0,0
L2AZCA1,"Ladies Classic 1, Jet Black",1,0,0,0,0,0,0,,0,0
L3CA01,"LADIES CLASSIC 1, JET BLACK",1,0,0,0,0,0,0,,0,0
L2AZCA21,"Ladies Classic 21, Black-Gold",1,0,0,0,0,0,0,,0,0
M1AZCA24,"MEN CLASSIC 24, NAVY GREY",1,0,0,0,0,0,0,,0,0
M1AZCA26,"MEN CLASSIC 26, RED BLACK",5,0,0,0,0,0,0,,0,0
L3CA21,"LADIES CLASSIC 21, BLACK0GOLD",1,0,0,0,0,0,0,,0,0
M1AZZDL1,"MEN DALLAS 1, JET BLACK",5,0,0,0,0,0,0,,0,0
M1AZCA29,"MEN CLASSIC 29, BROWN BROWN",4,0,0,0,0,0,0,,0,0
M1AZCA30,"MEN CLASSIC 30, BROWN BLACK",2,0,0,0,0,0,0,,0,0
M1AZCA31,"MEN CLASSIC 31, BLACK TURQUOISE",1,0,0,0,0,0,0,,0,0
E2AZEA8,"Ladies Elsa 8, Silver Black V2",5,0,0,0,0,0,0,,0,0
L2AZCA22,"Ladies Classic 22, Navy Navy",1,0,0,0,0,0,0,,0,0
MBLACK4,"MEN BLACK SERIES 4, LIGHT OLIVE",5,0,0,0,0,0,0,,0,0
MBLACK6,"MEN BLACK SERIES 6, STONE BLUE",5,0,0,0,0,0,0,,0,0
MBLACK7,"MEN BLACK SERIES 7, TURQUOISE",5,0,0,0,0,0,0,,0,0
L3CA22,"LADIES CLASSIC 22, NAVY NAVY",1,0,0,0,0,0,0,,0,0
L2AZCA23,"Ladies Classic 23, Navy Grey",1,0,0,0,0,0,0,,0,0
M1AZSP5,"MEN STRIPE 5, RED TWILIGHT GRAY",4,0,0,0,0,0,0,,0,0
L3CA23,"LADIES CLASSIC 23, NAVY GREY",1,0,0,0,0,0,0,,0,0
L2AZCA28,"Ladies Classic 28, Ballet Rose",1,0,0,0,0,0,0,,0,0
L2AZCA30,"Ladies Classic 30, Bleach Sand",1,0,0,0,0,0,0,,0,0
L3CA30,"LADIES CLASSIC 30, BLEACH SAND",1,0,0,0,0,0,0,,0,0
L2AZCA7,"Ladies Classic 7, Ginger Snap",1,0,0,0,0,0,0,,0,0
M1AZDL1,"MAN DALLAS 1, JET BLACK",5,0,0,0,0,0,0,,0,0
M1AZDL3,"MAN DALLAS 3, GRAY",5,0,0,0,0,0,0,,0,0
M1AZDL4,"MAN DALLAS 4, BROWN BROWN",5,0,0,0,0,0,0,,0,0
M1AZZDL2,"MEN DALLAS 2, NAVY",5,0,0,0,0,0,0,,0,0
SJ1ASL1,"Men Slide 1, Black",4,0,0,0,0,0,0,,0,0
SJ1ASL2,"Men Slide 2, Navy",4,0,0,0,0,0,0,,0,0
SJ1ASL3,"Men Slide 3, Army Black",4,0,0,0,0,0,0,,0,0
SJ1ASL4,"Men Slide 4, Army Navy",4,0,0,0,0,0,0,,0,0
SJ1ASL5,"Men Slide 5, Black Black",5,0,0,0,0,0,0,,0,0
SJ1ASL6,"Men Slide 6, Black White",5,0,0,0,0,0,0,,0,0
SJ1ASL7,"Men Slide 7, Navy White",5,0,0,0,0,0,0,,0,0
M1AZCO1,"Men Camo 1, Black",4,0,0,0,0,0,0,,0,0
M1AZCO2,"Men Camo 2, Navy",4,0,0,0,0,0,0,,0,0
M1AZLT1,"MEN LOONEY TUNES DAFFY 1, BLACK",5,0,0,0,0,0,0,,0,0
M1AZSV1,"MEN COUPLE SERIES 1, JET BLACK",4,0,0,0,0,0,0,,0,0
M1AZSV2,"MEN COUPLE SERIES 2, NAVY",4,0,0,0,0,0,0,,0,0
E3EA10,"LADIES ELSA 10, SILVER NAVY",1,0,0,0,0,0,0,,0,0
E2AZEA10,"Ladies Elsa 10, Silver Navy V2",1,0,0,0,0,0,0,,0,0
E2AZEA11,"Ladies Elsa 11, GingerSnap V2",1,0,0,0,0,0,0,,0,0
E2AZEA6,"LADIES ELSA 6, JET BLACK V2",1,0,0,0,0,0,0,,0,0
E2AZEA7,"LADIES ELSA 7, BLACK GOLD V2",2,0,0,0,0,0,0,,0,0
L2AZCA24,"Ladies Classic 24, Teal Green",1,0,0,0,0,0,0,,0,0
L2AZCA25,"Ladies Classic 25, Dark Grey",1,0,0,0,0,0,0,,0,0
L2AZCA26,"Ladies Classic 26, Light Grey",2,0,0,0,0,0,0,,0,0
L2AZCA29,"Ladies Classic 29, Navy Hotpink",1,0,0,0,0,0,0,,0,0
L2AKIM2,"Ladies Kim 2 , Jet Black",5,0,0,0,0,0,0,,0,0
L2AWG1,"Ladies Wedges 1, Black Gold V2",3,0,0,0,0,0,0,,0,0
L2AWG4,"Ladies Wedges 4, Ginger Snap V2",2,0,0,0,0,0,0,,0,0
L2AWG7,"Ladies Wedges 7, Silver V2",4,0,0,0,0,0,0,,0,0
L2AZWG2,"Ladies Wedges 2, Jet Black V2",3,0,0,0,0,0,0,,0,0
L2AZWG3,"Ladies Wedges 3, Navy V2",3,0,0,0,0,0,0,,0,0
L2AZWG4,"Ladies Wedges 4, Ginger Snap V3",2,0,0,0,0,0,0,,0,0
L2AZWG7,"Ladies Wedges 7, Silver V3",4,0,0,0,0,0,0,,0,0
L2AZWG1,"LADIES WEDGES 1, BLACK GOLD V3",3,0,0,0,0,0,0,,0,0
L2AZKIM2,"LADIES KIM 2, JET BLACK V2",5,0,0,0,0,0,0,,0,0
L2AKIM3,"Ladies Kim 3 , GInggerSnap",5,0,0,0,0,0,0,,0,0
L2AKIM4,"Ladies Kim 4, Navy Silver",5,0,0,0,0,0,0,,0,0
L2AZKIM4,"LADIES KIM 4, NAVY SILVER V2",5,0,0,0,0,0,0,,0,0
L2AZKIM3,"LADIES KIM 3, GINGERSNAP V2",5,0,0,0,0,0,0,,0,0
MBLACK3,"MEN BLACK SERIES 3, COSMIC GREY",5,0,0,0,0,0,0,,0,0
SJ2AST6,"Ladies Strappy 6, Gold Cream",4,0,0,0,0,0,0,,0,0
L2AST1,"Ladies Strappy 1, Jet Black V2",4,0,0,0,0,0,0,,0,0
E2AEA6,"Ladies Elsa 6, Jet Black",1,0,0,0,0,0,0,,0,0
E2AEA7,"Ladies Elsa 7, Black Glod",2,0,0,0,0,0,0,,0,0
E2AEA8,"Ladies Elsa 8, Silver Black",5,0,0,0,0,0,0,,0,0
E2AEA9,"Ladies Elsa 9, Silver Grey",5,0,0,0,0,0,0,,0,0
E2AEA10,"Ladies Elsa 10, Silver Navy",1,0,0,0,0,0,0,,0,0
E2AEA11,"Ladies Elsa 11, GingerSnap",1,0,0,0,0,0,0,,0,0
M1BLACK3,"MEN BLACK SERIES 3, COSMIC GREY",1,0,0,0,0,0,0,,0,0
M1AZCA1,"MEN CLASSIC 1, JET BLACK",1,0,0,0,0,0,0,,0,0
M1AZCA23,"MEN CLASSIC 23, NAVY BLACK",1,0,0,0,0,0,0,,0,0
L2AZSV1,"LADIES COUPLE SERIES 1, GINGERSNAP",4,0,0,0,0,0,0,,0,0
L2AZSV2,"LADIES COUPLE SERIES 2, TURQUOISE SILVER",4,0,0,0,0,0,0,,0,0
M1KZSP1,"BOYS STRIPE 1, BLACK TURQUOISE V2",5,0,0,0,0,0,0,,0,0
M1KZON1,"BOYS ONYX 1, BLACK BLACK",4,0,0,0,0,0,0,,0,0
M1KZON2,"BOYS ONYX 2, ARMY BLACK",4,0,0,0,0,0,0,,0,0
M1KZON3,"BOYS ONYX 2, NAVY GREY",4,0,0,0,0,0,0,,0,0
SJ2KSP1,"Girls Stripe 1, Black Pink",5,0,0,0,0,0,0,,0,0
SJ2KSP6,"Girls Stripe 6, Crystal Blue-Peach",5,0,0,0,0,0,0,,0,0
L2KZSP1,"GIRLS STRIPE 1, BLACK PINK V2",5,0,0,0,0,0,0,,0,0
SJ1BCL1,"Baby Boys Collab 1, Disney Mickey Black",5,0,0,0,0,0,0,,0,0
SJ2BCL1,"Baby Girls Collab 1, Disney Minnie Pink",5,0,0,0,0,0,0,,0,0
SJ2BCL2,"Baby Girls Collab 2, Disney Minnie Turquoise",5,0,0,0,0,0,0,,0,0
BGCO2B0HKP,"Baby Collab Girls Zuma x Helkity, Pink",5,0,0,0,0,0,0,,0,0
BGCO2B0HKT,"Baby Collab Girls Zuma x Helkity, Tosca",5,0,0,0,0,0,0,,0,0
SJ1BD01,"Baby Doraemon 1, Zuma x Doraemon Blue",5,0,0,0,0,0,0,,0,0
M1AZON5,"MEN ONYX 5, TURQUOISE BLACK",1,0,0,0,0,0,0,,0,0
M1AZON6,"MEN ONYX 6, COFFEE",4,0,0,0,0,0,0,,0,0
M1AZON7,"MEN ONYX 7, YOUNG ARMY",4,0,0,0,0,0,0,,0,0
L3WG01,"LADIES WEDGES 1, BLACK GOLD",3,0,0,0,0,0,0,,0,0
M1AZCA27,"MEN CLASSIC 27, GREY GREY",1,0,0,0,0,0,0,,0,0
M1AZON1,"MEN ONYX 1, BLACK BLACK",1,0,0,0,0,0,0,,0,0
M1AZON2,"MEN ONYX 2, NAVY BLACK",1,0,0,0,0,0,0,,0,0
M1AZCA28,"MEN CLASSIC 28, PLUM BLACK",4,0,0,0,0,0,0,,0,0
MBLACK1,"MEN BLACK SERIES 1, MAROON",5,0,0,0,0,0,0,,0,0
L3CA26,"LADIES CLASSIC 26, LIGHT GREY",2,0,0,0,0,0,0,,0,0
MBLACK5,"MEN BLACK SERIES 5, PEANUT",5,0,0,0,0,0,0,,0,0
M1AZON3,"MEN ONYX 3, NAVY NAVY",1,0,0,0,0,0,0,,0,0
M1AZSP7,"MEN STRIPE 7, BLACK BROWN0WHITE",1,0,0,0,0,0,0,,0,0
M1AZZDL3,"MEN DALLAS 3, GRAY",5,0,0,0,0,0,0,,0,0
M1AZZDL4,"MEN DALLAS 4, BROWN",5,0,0,0,0,0,0,,0,0
BB1BZCL1,"BABY BOYS COLLAB 1, DISNEY MICKEY BLACK",1,0,0,0,0,0,0,,0,0
M1BLACK7,"MEN BLACK SERIES 7, TURQUOISE",4,0,0,0,0,0,0,,0,0
M1AZON4,"MEN ONYX 4, BLACK GREY",1,0,0,0,0,0,0,,0,0
BB2BZCL1,"Baby Girls Collab 1, Disney Minnie Pink V2",4,0,0,0,0,0,0,,0,0
M5KSP01,"BOYS STRIPE 1, BLACK TURQUOISE",5,0,0,0,0,0,0,,0,0
BB3BZCL3,"Baby Uni Collab WBB 1 , Blue Navy",4,0,0,0,0,0,0,,0,0
BB3BZCL4,"Baby Uni Collab WBB 2 , Gery Navy",4,0,0,0,0,0,0,,0,0
L3WG02,"LADIES WEDGES 2, JET BLACK",3,0,0,0,0,0,0,,0,0
L3WG03,"LADIES WEDGES 3, NAVY",2,0,0,0,0,0,0,,0,0
M1SL08,"MEN SLIDE DERBY 8, BLACK",4,0,0,0,0,0,0,,0,0
M1SL09,"MEN SLIDE ESSENTIALS 9, BLACK",4,0,0,0,0,0,0,,0,0
L3WG04,"LADIES WEDGES 4, GINGER SNAP",2,0,0,0,0,0,0,,0,0
L3WG07,"LADIES WEDGES 7, SILVER",4,0,0,0,0,0,0,,0,0
M1AZSP1,"MEN STRIPE 1, BLACK BLUE0RED",1,0,0,0,0,0,0,,0,0
M1AZSP11,"MEN STRIPE 11, GRAY LIME",1,0,0,0,0,0,0,,0,0
L1FLO01,"LADIES FLO 1, BLACK",1,0,0,0,0,0,0,,0,0
L1FLO02,"LADIES FLO 2, MINT",4,0,0,0,0,0,0,,0,0
L1FLO03,"LADIES FLO 3, LIGHT BROWN",1,0,0,0,0,0,0,,0,0
L1FLO04,"LADIES FLO 4, LILAC",4,0,0,0,0,0,0,,0,0
M1LN01,"MEN LEON 1, WHITE",4,0,0,0,0,0,0,,0,0
M1LN02,"MEN LEON 2, LIGHT BROWN",4,0,0,0,0,0,0,,0,0
M1LN03,"MEN LEON 3, NAVY",4,0,0,0,0,0,0,,0,0
L3CA25,"LADIES CLASSIC 25, DRAK GREY",1,0,0,0,0,0,0,,0,0
M1BLACK4,"MEN BLACK SERIES 4, LIGHT OLIVE",2,0,0,0,0,0,0,,0,0
M1BLACK5,"MEN BLACK SERIES 5, PEANUT",1,0,0,0,0,0,0,,0,0
M1BLACK6,"MEN BLACK SERIES 6, STONE BLUE",1,0,0,0,0,0,0,,0,0
L1CA07,"LADIES CLASSIC 7, GINGER SNAP",1,0,0,0,0,0,0,,0,0
M1SL10,"MEN SLIDE ESSENTIALS 10, BLACK",4,0,0,0,0,0,0,,0,0
L1CA28,"LADIES CLASSIC 28, BALLET ROSE",1,0,0,0,0,0,0,,0,0
M1ON07,"MEN ONYX 7, YOUNG ARMY",4,0,0,0,0,0,0,,0,0
BB2CA01,"BABY BOYS CLASSIC 1, STEEL BLUE",4,0,0,0,0,0,0,,0,0
BB2CA02,"BABY BOYS CLASSIC 2, HAZELNUT",1,0,0,0,0,0,0,,0,0
BG2CA04,"BABY GIRLS CLASSIC 4, CANDY PINK",4,0,0,0,0,0,0,,0,0
BB1CL02,"BABY BOYS COLLAB 2, DISNEY MICKEY & FRIENDS BLUE",1,0,0,0,0,0,0,,0,0
BB1CL03,"BABY BOYS COLLAB 3, DISNEY MICKEY & FRIENDS BROWN",1,0,0,0,0,0,0,,0,0
BG1CL03,"BABY GIRLS COLLAB 3, DISNEY MICKEY & FRIENDS PINK",1,0,0,0,0,0,0,,0,0
M1RK01,"MEN ROCKY 1, BLACK",4,0,0,0,0,0,0,,0,0
