Kode Artikel,Nama Artikel,Tier,QTY WHS DDD,QTY WHS LJBB,QTY WHS MBB,TOTAL WHS,RO BOX DDD,RO BOX LJBB,RO BOX MBB,TOTAL RO,READY STOCK
M1RK02,"MEN ROCKY 2, NAVY",4,0,0,0,0,0,0,,0,0
M1RK03,"MEN ROCKY 3, BROWN",4,0,0,0,0,0,0,,0,0
M1RK04,"MEN ROCKY 4, GREY",4,0,0,0,0,0,0,,0,0
M1RK05,"MEN ROCKY 5, ARMY",4,0,0,0,0,0,0,,0,0
M2SM01,"MEN SUMMER 1,BLACK",4,0,0,0,0,0,0,,0,0
M2SM02,"MEN SUMMER 2,NAVY",4,0,0,0,0,0,0,,0,0
M2SM03,"MEN SUMMER 3,GREY",4,0,0,0,0,0,0,,0,0
M2SM04,"MEN SUMMER 4,ARMY",4,0,0,0,0,0,0,,0,0
L2SM01,"LADIES SUMMER 1,BLACK",4,0,0,0,0,0,0,,0,0
L2SM02,"LADIES SUMMER 2,NAVY",4,0,0,0,0,0,0,,0,0
L2SM03,"LADIES SUMMER 3,PEACH",4,0,0,0,0,0,0,,0,0
L2SM04,"LADIES SUMMER 4,BEAVER FUR",4,0,0,0,0,0,0,,0,0
M1AZSP2,"MEN STRIPE 2, TWILIGHT ORANGE0GREEN",1,0,0,0,0,0,0,,0,0
M1AZSP8,"MEN STRIPE 8, TWILIGHT RED0WHITE",1,0,0,0,0,0,0,,0,0
M1AZSP10,"MEN STRIPE 10, ALMOND BLACK",1,0,0,0,0,0,0,,0,0
L2AZCA27,"Ladies Classic 27, Black Pink",4,0,0,0,0,0,0,,0,0
M1KZSP2,"Boys Stripe 2, Navy Red V2",5,0,0,0,0,0,0,,0,0
L2KZSP2,"Girls Stripe 2, Navy Pink V2",5,0,0,0,0,0,0,,0,0
L3CA29,"LADIES CLASSIC 29, NAVY HOTPINK",1,0,0,0,0,0,0,,0,0
M5KSP02,"BOYS STRIPE 2, NAVY RED",5,0,0,0,0,0,0,,0,0
L7KSP04,"GIRLS STRIPE 4, BLUE FUSCHIA",5,0,0,0,0,0,0,,0,0
L1CA24,"LADIES CLASSIC 24, TEAL GREEN",1,0,0,0,0,0,0,,0,0
M1ON06,"MEN ONYX 6, COFFEE",4,0,0,0,0,0,0,,0,0
B2CL12,BOYS COLLAB 12 BATMAN NAVY GREY,4,0,0,0,0,0,0,,0,0
B2CL13,BOYS COLLAB 13 BATMAN GREY YELLOW,4,0,0,0,0,0,0,,0,0
L1CA27,"LADIES CLASSIC 27,BLACK PINK",4,0,0,0,0,0,0,,0,0
SJ1ACA2,"MEN CLASSIC 2, DARK GRAY",5,0,0,0,0,0,0,,0,0
SJ1ACA3,"MEN CLASSIC 3, TWILIGHT BLUE",5,0,0,0,0,0,0,,0,0
SJ1ACA4,"MEN CLASSIC 4, DAZZLING BLUE",5,0,0,0,0,0,0,,0,0
SJ1ACA5,"MEN CLASSIC 5, MAHOGANY",5,0,0,0,0,0,0,,0,0
SJ1ACA6,"MEN CLASSIC 6, DAZZLING BLUE0DOVE",5,0,0,0,0,0,0,,0,0
SJ1ACA7,"MEN CLASSIC 7, BLACK FORMULA ONE",5,0,0,0,0,0,0,,0,0
SJ1ACA8,"MEN CLASSIC 8, BLACK DAZZLING BLUE",5,0,0,0,0,0,0,,0,0
SJ1ACA9,"MEN CLASSIC 9, AIR BLUE0TWILIGHT",5,0,0,0,0,0,0,,0,0
SJ1ACA10,"MEN CLASSIC 10, FORMULA ONE0TWILIGHT",5,0,0,0,0,0,0,,0,0
SJ1ACA11,"MEN CLASSIC 11, FORST GRAY0DAZZLING",0,0,0,0,0,0,0,,0,0
SJ1ACA12,"MEN CLASSIC 12, PERSIMON ORANGE0HAZEL",0,0,0,0,0,0,0,,0,0
SJ1ACA13,"MEN CLASSIC 13, REGGATA0TAWNY PORT",5,0,0,0,0,0,0,,0,0
SJ1ACA14,"MEN CLASSIC 14, DELF0CLASSIC GREEN",5,0,0,0,0,0,0,,0,0
SJ1ACA15,"MEN CLASSIC 15, DELF0CARROT",0,0,0,0,0,0,0,,0,0
SJ1ACA16,"MEN CLASSIC 16, TWILIGHT0JASMINE GREEN",5,0,0,0,0,0,0,,0,0
SJ1ACA17,"MEN CLASSIC 17, BLACK0PEACOCK BLUE",5,0,0,0,0,0,0,,0,0
SJ1ACA18,"MEN CLASSIC 18, CALESTIAL0LIMOGES",5,0,0,0,0,0,0,,0,0
SJ1ACA19,"MEN CLASSIC 19, DRIZZLE0ORANGE",5,0,0,0,0,0,0,,0,0
SJ1ACA20,"MEN CLASSIC 20, GRAY0LIME GREEN",5,0,0,0,0,0,0,,0,0
SJ1ACA21,"MEN CLASSIC 21, BLACK-ITALIAN PLUM",5,0,0,0,0,0,0,,0,0
M1AZCA22,"MEN CLASSIC 22, BLACK RED",5,0,0,0,0,0,0,,0,0
M1AZCA25,"MEN CLASSIC 25, GREEN BROWN BLACK",5,0,0,0,0,0,0,,0,0
SJ1APL1,"MEN PILLOW 1, BLACK",5,0,0,0,0,0,0,,0,0
SJ1APL2,"MEN PILLOW 2, WHITE0BLACK",5,0,0,0,0,0,0,,0,0
SJ1APL3,MEN PILLOW 3. BRICK-BLACK,5,0,0,0,0,0,0,,0,0
SJ1APL4,"MEN PILLOW 4, BRILLIANT BLUE0BLACK",5,0,0,0,0,0,0,,0,0
SJ1APL5,"MEN PILLOW 5, TWILIGHT0LIGHT GRAY",5,0,0,0,0,0,0,,0,0
SJ1APL6,"MEN PILLOW 6, RED0TWILIGHT",5,0,0,0,0,0,0,,0,0
SJ1APL7,"MEN PILLOW 7, BLACK0RED",5,0,0,0,0,0,0,,0,0
SJ1APL8,"MEN PILLOW 8, GRAY0YELLOW",5,0,0,0,0,0,0,,0,0
SJ1APL9,"MEN PILLOW 9, ORANGE0IGUANA",5,0,0,0,0,0,0,,0,0
SJ1APL10,"MEN PILLOW 10, BLACK0STEEL",5,0,0,0,0,0,0,,0,0
SJ1APL11,"MEN PILLOW 11, RED0SILVER",5,0,0,0,0,0,0,,0,0
SJ1APL12,"MEN PILLOW 12, BLACK0ITALIAN PLUM",5,0,0,0,0,0,0,,0,0
SJ1APL13,"MEN PILLOW 13, ALMOND BLACK",5,0,0,0,0,0,0,,0,0
SJ1APL14,"MEN PILLOW 14, OCHRE BLACK",5,0,0,0,0,0,0,,0,0
SJ1APL15,"MEN PILLOW 15, EVERGREEN",5,0,0,0,0,0,0,,0,0
M1AZPL1,"MEN PILLOW 1, BLACK",5,0,0,0,0,0,0,,0,0
M1APL1,"MEN PILLOW 1, BLACK",5,0,0,0,0,0,0,,0,0
"M1AZPL5","MEN PILLOW 5, TWILIGHT0LIGHT GRAY",5,0,0,0,0,0,0,,0,0
M1AZPL5,"MEN PILLOW 5, TWILIGHT0LIGHT GRAY",5,0,0,0,0,0,0,,0,0
M1AZPL9,"MEN PILLOW 9, ORANGE0IGUANA",5,0,0,0,0,0,0,,0,0
M1APL9,"MEN PILLOW 9, ORANGE0IGUANA",5,0,0,0,0,0,0,,0,0
M1AZPL10,"MEN PILLOW 10, BLACK0STEEL",5,0,0,0,0,0,0,,0,0
M1APL10,"MEN PILLOW 10, BLACK0STEEL",5,0,0,0,0,0,0,,0,0
M1AZ3L13,"MEN PILLOW 13, ALMOND BLACK",5,0,0,0,0,0,0,,0,0
M1APL13,"MEN PILLOW 13, ALMOND BLACK",5,0,0,0,0,0,0,,0,0
M1AZPL13,"MEN PILLOW 13, ALMOND BLACK",5,0,0,0,0,0,0,,0,0
"M1AZPL14","MEN PILLOW 14, OCHRE BLACK",5,0,0,0,0,0,0,,0,0
M1AZPL14,"MEN PILLOW 14, OCHRE BLACK",5,0,0,0,0,0,0,,0,0
"M1APL16","MEN PILLOW 16, BLACK OLIVE",5,0,0,0,0,0,0,,0,0
M1APL16,"MEN PILLOW 16, BLACK OLIVE",5,0,0,0,0,0,0,,0,0
M1APL17,"MEN PILLOW 17, BLACK DARK BLUE",5,0,0,0,0,0,0,,0,0
M1AZ3L17,"MEN PILLOW 17, BLACK DARK BLUE V2",5,0,0,0,0,0,0,,0,0
M1AZPL17,"MAN PILLOW 17, BLACK DARK BLUE",5,0,0,0,0,0,0,,0,0
M1APL18,"MEN PILLOW 18, BLACK BROWN",5,0,0,0,0,0,0,,0,0
SJ1ABL1,"MEN BLACK SERIES 1, BLUE",5,0,0,0,0,0,0,,0,0
SJ1ABL2,"MEN BLACK SERIES 2, RED",5,0,0,0,0,0,0,,0,0
SJ1ABL3,"MEN BLACK SERIES 3, ORANGE",5,0,0,0,0,0,0,,0,0
SJ1ABL4,"MEN BLACK SERIES 4, TURQUOISE",5,0,0,0,0,0,0,,0,0
MBLACK2,"MEN BLACK SERIES 2, PEACHOCK BLUE",5,0,0,0,0,0,0,,0,0
SJ1ASP1,"MEN STRIPE 1, BLACK BLUE0RED",5,0,0,0,0,0,0,,0,0
SJ1ASP2,"MEN STRIPE 2, TWILIGHT ORANGE0GREEN",5,0,0,0,0,0,0,,0,0
SJ1ASP3,"MEN STRIPE 3, DOVE GRAY0TOSCA",5,0,0,0,0,0,0,,0,0
SJ1ASP4,"MEN STRIPE 4, WHITE GREEN-GRAY",5,0,0,0,0,0,0,,0,0
SJ1ASP5,"MEN STRIPE 5, RED TWILIGHT GRAY",5,0,0,0,0,0,0,,0,0
SJ1ASP6,"MEN STRIPE 6, FROST BLACK0CAYENNE",5,0,0,0,0,0,0,,0,0
SJ1ASP7,"MEN STRIPE 7, BLACK BROWN0WHITE",5,0,0,0,0,0,0,,0,0
SJ1ASP8,"MEN STRIPE 8, TWILIGHT RED0WHITE",5,0,0,0,0,0,0,,0,0
SJ1ASP9,"MEN STRIPE 9, GREEN BLACK0YELLOW",5,0,0,0,0,0,0,,0,0
SJ1ASP10,"MEN STRIPE 10, ALMOND BLACK",5,0,0,0,0,0,0,,0,0
SJ1ASP12,"MEN STRIPE 12, SCUBA BLUE0BLACK",5,0,0,0,0,0,0,,0,0
SJ1AXR1,"MEN XANDER 1, BLACK NAVY",5,0,0,0,0,0,0,,0,0
ST1AXR1,"MEN XANDER 1, BLACK NAVY",5,0,0,0,0,0,0,,0,0
SJ1AXR2,"MEN XANDER 2, NAVY COCOA",5,0,0,0,0,0,0,,0,0
ST1AXR2,"MEN XANDER 2, NAVY COCOA",5,0,0,0,0,0,0,,0,0
SJ1AXR3,"MEN XANDER 3, BEIGE BROWN",5,0,0,0,0,0,0,,0,0
ST1AXR3,"MEN XANDER 3, BEIGE BROWN",5,0,0,0,0,0,0,,0,0
ST1AXR4,"MEN XANDER 4, OLIVE",5,0,0,0,0,0,0,,0,0
SJ1AXR4,"MEN XANDER 4, OLIVE",5,0,0,0,0,0,0,,0,0
ST1AXR5,"MEN XANDER 5, GRAY BLACK",5,0,0,0,0,0,0,,0,0
SJ1AXR5,"MEN XANDER 5, GRAY BLACK",5,0,0,0,0,0,0,,0,0
M1AZZXR1,"MEN XANDER 1, BLACK NAVY",5,0,0,0,0,0,0,,0,0
M1AZZXR3,"MEN XANDER 3, BEIGE BROWN",5,0,0,0,0,0,0,,0,0
M1AZZXR6,"MEN XANDER 6, BLACK BLACK",5,0,0,0,0,0,0,,0,0
M1AZZXR7,"MEN XANDER 7, NAVY GREY",5,0,0,0,0,0,0,,0,0
M1AZZSL5,"Men Slide 5, Black Black",5,0,0,0,0,0,0,,0,0
M1AZZSL6,"MEN SLIDE 6, BLACK WHITE",5,0,0,0,0,0,0,,0,0
M1AZZSL7,"MEN SLIDE 7, NAVY WHITE",5,0,0,0,0,0,0,,0,0
SJ1ACO1,"Men Camo 1, Black",5,0,0,0,0,0,0,,0,0
SJ1ACO2,"Men Camo 2, Navy",5,0,0,0,0,0,0,,0,0
SJ1ACO3,"Men Camo 3, Gray",5,0,0,0,0,0,0,,0,0
SJ1ACO4,"Men Camo 4, Red",5,0,0,0,0,0,0,,0,0
SJ1ACO5,"Men Camo 5, Olive",5,0,0,0,0,0,0,,0,0
SJ1ACL1,"Men Collab 1, Zuma x Gudetama Black",5,0,0,0,0,0,0,,0,0
SJ1APM1,"Men Powermax 1, Black",5,0,0,0,0,0,0,,0,0
SJ1APM2,"Men Powermax 2, Navy",5,0,0,0,0,0,0,,0,0
SJ1APM3,"Men Powermax 3, Red",5,0,0,0,0,0,0,,0,0
SJ1ABU,"MEN X ZUMA BU, MEN ZUMA X BU BLACK",5,0,0,0,0,0,0,,0,0
SJ2ACA1,"Ladies Classic 1, Jet Black",5,0,0,0,0,0,0,,0,0
SJ2ACA2,"Ladies Classic 2, Steel Gray",5,0,0,0,0,0,0,,0,0
SJ2ACA3,"Ladies Classic 3, Goat",5,0,0,0,0,0,0,,0,0
SJ2ACA4,"Ladies Classic 4, Twilight Blue",5,0,0,0,0,0,0,,0,0
SJ2ACA5,"Ladies Classic 5, Berry",5,0,0,0,0,0,0,,0,0
SJ2ACA6,"Ladies Classic 6, Fuschia Red",5,0,0,0,0,0,0,,0,0
SJ2ACA7,"Ladies Classic 7, Ginger Snap",5,0,0,0,0,0,0,,0,0
SJ2ACA8,"Ladies Classic 8, Bleached Sand",5,0,0,0,0,0,0,,0,0
SJ2ACA9,"Ladies Classic 9, Ceramic",5,0,0,0,0,0,0,,0,0
SJ2ACA10,"Ladies Classic 10, Aruba Blue",5,0,0,0,0,0,0,,0,0
SJ2ACA11,"Ladies Classic 11, Pine Cone",5,0,0,0,0,0,0,,0,0
SJ2ACA12,"Ladies Classic 12, Liberty",5,0,0,0,0,0,0,,0,0
SJ2ACA13,"Ladies Classic 13, Flamingo-Paloma",5,0,0,0,0,0,0,,0,0
SJ2ACA14,"Ladies Classic 14, Praline-Sand",5,0,0,0,0,0,0,,0,0
SJ2ACA15,"Ladies Classic 15, Sand-Bachelor",5,0,0,0,0,0,0,,0,0
SJ2ACA16,"Ladies Classic 16, Carnation-Bachelor",5,0,0,0,0,0,0,,0,0
SJ2ACA17,"Ladies Classic 17, Blanc-Birch",5,0,0,0,0,0,0,,0,0
SJ2ACA18,"Ladies Classic 18, Berry-Twilight",5,0,0,0,0,0,0,,0,0
SJ2ACA19,"Ladies Classic 19, Sphinx-Peach",5,0,0,0,0,0,0,,0,0
SJ2ACA20,"Ladies Classic 20, Passion-Carnation",5,0,0,0,0,0,0,,0,0
SJ2ACA21,"Ladies Classic 21, Black-Gold",5,0,0,0,0,0,0,,0,0
SJ2ASP1,"Ladies Stripe 1, Ginger Nectar-Aqua",5,0,0,0,0,0,0,,0,0
SJ2ASP2,"Ladies Stripe 2, Black Gray-Pink",5,0,0,0,0,0,0,,0,0
SJ2ASP3,"Ladies Stripe 3, Twilight Pink-Blue",5,0,0,0,0,0,0,,0,0
SJ2ASP4,"Ladies Stripe 4, Sand Brown-Orange",5,0,0,0,0,0,0,,0,0
SJ2ASP5,"Ladies Stripe 5, White Nectar-Blue",5,0,0,0,0,0,0,,0,0
SJ2ASP6,"Ladies Stripe 6, Carnation Blue-Yellow",5,0,0,0,0,0,0,,0,0
SJ2ASP7,"Ladies Stripe 7, Black Fuschia-Yellow",5,0,0,0,0,0,0,,0,0
SJ2ASP8,"Ladies Stripe 8, Gray Purple-Fuschia",5,0,0,0,0,0,0,,0,0
SJ2ASP9,"Ladies Stripe 9, Carnation Blue-Yellow",5,0,0,0,0,0,0,,0,0
SJ2ASP10,"Ladies Stripe 10, Light Rose-White",5,0,0,0,0,0,0,,0,0
SJ2ASP11,"Ladies Stripe 11, Mujito-Orange",5,0,0,0,0,0,0,,0,0
SJ2ASP12,"Ladies Stripe 12, Black-Pink White",5,0,0,0,0,0,0,,0,0
SJ2APL1,"Ladies Pillow 1, Black",5,0,0,0,0,0,0,,0,0
SJ2APL2,"Ladies Pillow 2, White-Black",5,0,0,0,0,0,0,,0,0
SJ2APL3,"Ladies Pillow 3, Brick-Black",5,0,0,0,0,0,0,,0,0
SJ2APL4,"Ladies Pillow 4, Pink-Black",5,0,0,0,0,0,0,,0,0
SJ2APL5,"Ladies Pillow 5, Brown-Black",5,0,0,0,0,0,0,,0,0
SJ2APL6,"Ladies Pillow 6, Bachelor-Carnation",5,0,0,0,0,0,0,,0,0
SJ2APL7,"Ladies Pillow 7, Black-Lavender",5,0,0,0,0,0,0,,0,0
SJ2APL9,"Ladies Pillow 9, Turquoise-Mint",5,0,0,0,0,0,0,,0,0
SJ2APL10,"Ladies Pillow 10, Brown-Taupe",5,0,0,0,0,0,0,,0,0
SJ2APL11,"Ladies Pillow 11, Twilight-Peach",5,0,0,0,0,0,0,,0,0
SJ2APL12,"Ladies Pillow 12, Stucco-Yellow",5,0,0,0,0,0,0,,0,0
SJ2APL13,"Ladies Pillow 13, Canal-Blue",5,0,0,0,0,0,0,,0,0
SJ2APL14,"Ladies Pillow 14, Twilight-Flamingo",5,0,0,0,0,0,0,,0,0
SJ2APL15,"Ladies Pillow 15, Silver-Flamingo",5,0,0,0,0,0,0,,0,0
L2AZPL1,"Ladies Pillow 1, Black V2",5,0,0,0,0,0,0,,0,0
SJ27PL1,"LADIES PILLOW 1, BLACK",5,0,0,0,0,0,0,,0,0
L2AZPL2,"Ladies Pillow 2, White-Black V2",5,0,0,0,0,0,0,,0,0
L2AZPL3,"Ladies Pillow 3, Brick-Black V2",5,0,0,0,0,0,0,,0,0
L2AZPL10,"Ladies Pillow 10, Brown-Taupe V2",5,0,0,0,0,0,0,,0,0
L2AZPL14,"Ladies Pillow 14, Twilight-Flamingo V3",5,0,0,0,0,0,0,,0,0
L2APL16,"Ladies Pillow 16, Navy Purple",5,0,0,0,0,0,0,,0,0
L2AZPL16,"Ladies Pillow 16, Navy Purple V2",5,0,0,0,0,0,0,,0,0
L2APL17,"Ladies Pillow 17, Navy Silver",5,0,0,0,0,0,0,,0,0
L2AZPL17,"LADIES PILLOW 17, 36, NAVY SILVER",5,0,0,0,0,0,0,,0,0
L2APL18,"Ladies Pillow 18, Black Rose",5,0,0,0,0,0,0,,0,0
SJ2AWG1,"Ladies Wedges 1, Black Gold",5,0,0,0,0,0,0,,0,0
SJ2AWG2,"Ladies Wedges 2, Jet Black",5,0,0,0,0,0,0,,0,0
SJ2AWG3,"Ladies Wedges 3, Navy",5,0,0,0,0,0,0,,0,0
SJ2AWG4,"Ladies Wedges 4, Ginger Snap",5,0,0,0,0,0,0,,0,0
SJ2AWG5,"Ladies Wedges 5, Red",5,0,0,0,0,0,0,,0,0
SJ2AWG6,"Ladies Wedges 6, Air Blue",5,0,0,0,0,0,0,,0,0
SJ2AWG7,"Ladies Wedges 7, Silver",5,0,0,0,0,0,0,,0,0
SJ2AWG8,"Ladies Wedges 8, Teal Green",5,0,0,0,0,0,0,,0,0
SJ2AWG9,"Ladies Wedges 9, Aqua Haze",5,0,0,0,0,0,0,,0,0
SJ2AST1,"Ladies Strappy 1, Jet Black",5,0,0,0,0,0,0,,0,0
SJ2AST2,"Ladies Strappy 2, Black Raspberry",5,0,0,0,0,0,0,,0,0
SJ2AST3,"Ladies Strappy 3, Silver Navy",5,0,0,0,0,0,0,,0,0
SJ2AST4,"Ladies Strappy 4, Silver Deep Coral",5,0,0,0,0,0,0,,0,0
SJ2AST5,"Ladies Strappy 5, Gold Black",5,0,0,0,0,0,0,,0,0
L2AST5,"Ladies Strappy 5, Gold Black V2",5,0,0,0,0,0,0,,0,0
L2AST6,"Ladies Strappy 6, Gold Cream V2",5,0,0,0,0,0,0,,0,0
L2AZST6,"Ladies Strappy 6, Gold Cream V3",5,0,0,0,0,0,0,,0,0
SJ1ACA1,"MEN CLASSIC 1, JET BLACK",5,0,0,0,0,0,0,,0,0
SJ2AAC1,"Ladies Ayang 1, Cream",5,0,0,0,0,0,0,,0,0
SJ2AAC2,"Ladies Ayang 2, Teal Blue",5,0,0,0,0,0,0,,0,0
SJ2AAC3,"Ladies Ayang 3, Blush Pink",5,0,0,0,0,0,0,,0,0
SJ2AAC4,"Ladies Ayang 4, Teal Green",5,0,0,0,0,0,0,,0,0
SJ2ACO1,"Ladies Camo 1, Black",5,0,0,0,0,0,0,,0,0
SJ2ACO2,"Ladies Camo 2, Navy",5,0,0,0,0,0,0,,0,0
SJ2ACO3,"Ladies Camo 3, White",5,0,0,0,0,0,0,,0,0
SJ2ACO4,"Ladies Camo 4, Black Pink",5,0,0,0,0,0,0,,0,0
SJ2ACO5,"Ladies Camo 5, Black Gold",5,0,0,0,0,0,0,,0,0
SJ2ACL1,"Ladies Collab 1, Dough Darlings",5,0,0,0,0,0,0,,0,0
SJ2ACL2,"Ladies Collab 2, Zuma x Hello Kitty Navy",5,0,0,0,0,0,0,,0,0
SJ2ACL3,"Ladies Collab 3, Zuma x Gudetama Beige",5,0,0,0,0,0,0,,0,0
SJ2ACL4,"Ladies Collab 4, Zuma x Gudetama Black",5,0,0,0,0,0,0,,0,0
SJ2ACL5,"Ladies Collab 5, Zuma x Gudetama Yellow",5,0,0,0,0,0,0,,0,0
SJ2AJO1,"Ladies Jovie 1, Zuma X Jovie Adhiguna Black",5,0,0,0,0,0,0,,0,0
SJ2AJO2,"Ladies Jovie 2, Zuma X Jovie Adhiguna White",5,0,0,0,0,0,0,,0,0
SJ2AJO3,"Ladies Jovie 3, Zuma X Jovie Adhiguna Tosca",5,0,0,0,0,0,0,,0,0
SJ2ATP1,"Ladies Tropical 1, Twilight",5,0,0,0,0,0,0,,0,0
SJ2ATP2,"Ladies Tropical 2, Soft Pink",5,0,0,0,0,0,0,,0,0
L2AZLT1,"LADIES LOONEY TUNES BUGS 1, GREY",5,0,0,0,0,0,0,,0,0
L2AZLT2,"LADIES LOONEY TUNES TWEETY 2, YELLOW",5,0,0,0,0,0,0,,0,0
SJ1KCL1,"Boys Collab 1, Zuma x Gudetama Black",5,0,0,0,0,0,0,,0,0
SJ1KCL2,"Boys Collab 2, Zuma x Gudetama Yellow",5,0,0,0,0,0,0,,0,0
SJ1KCL3,"Boys Collab 3, Disney Mickey Black",5,0,0,0,0,0,0,,0,0
SJ1KCL4,"Boys Collab 4, Disney Mickey Red",5,0,0,0,0,0,0,,0,0
SJ1KSP1,"Boys Stripe 1, Black Turquoise",5,0,0,0,0,0,0,,0,0
SJ1KSP2,"Boys Stripe 2, Navy Red",5,0,0,0,0,0,0,,0,0
SJ1KSP3,"Boys Stripe 3, Red Navy",5,0,0,0,0,0,0,,0,0
SJ1KSP4,"Boys Stripe 4, Gray Orange",5,0,0,0,0,0,0,,0,0
